,community,region,country,latitude,longitude,type,scenario,resolution,daterange,unit,month,Min,Mean,Max,Sd,cru32 2km historical mean,delta,maxdelta,mindelta
13,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp45,2km,2010-2019,C,January,-10.1,-3.6,3.1,3.1,-3.9,0.3,7,-6.2
14,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp45,2km,2010-2019,C,February,-4.9,-0.4,5.1,2.9,-2,1.6,7.1,-2.9
15,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp45,2km,2010-2019,C,March,-3.6,0.8,5.6,2.5,-0.7,1.5,6.3,-2.9
16,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp45,2km,2010-2019,C,April,0.4,3.6,7.2,1.6,2.4,1.2,4.8,-2
17,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp45,2km,2010-2019,C,May,4.6,7.2,11.1,1.3,6.3,0.9,4.8,-1.7
18,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp45,2km,2010-2019,C,June,7.3,11,14.3,1.5,9.8,1.2,4.5,-2.5
19,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp45,2km,2010-2019,C,July,10.1,13.3,18.4,1.6,12,1.3,6.4,-1.9
20,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp45,2km,2010-2019,C,August,10.9,12.9,15.6,1.2,11.8,1.1,3.8,-0.9
21,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp45,2km,2010-2019,C,September,7.2,10.1,12.7,1.3,8.9,1.2,3.8,-1.7
22,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp45,2km,2010-2019,C,October,2.1,5.8,10.2,1.6,5,0.8,5.2,-2.9
23,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp45,2km,2010-2019,C,November,-4.9,0.5,6.2,2.5,-0.3,0.8,6.5,-4.6
24,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp45,2km,2010-2019,C,December,-7.5,-2.1,2.2,2.6,-2.6,0.5,4.8,-4.9
25,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp45,2km,2020-2029,C,January,-10.3,-2.2,2.3,2.7,-3.9,1.7,6.2,-6.4
26,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp45,2km,2020-2029,C,February,-5.4,0.1,5.6,2.3,-2,2.1,7.6,-3.4
27,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp45,2km,2020-2029,C,March,-3.6,0.9,4.8,2.1,-0.7,1.6,5.5,-2.9
28,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp45,2km,2020-2029,C,April,-0.1,3.8,7.4,1.7,2.4,1.4,5,-2.5
29,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp45,2km,2020-2029,C,May,4.7,7.3,10.1,1.2,6.3,1,3.8,-1.6
30,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp45,2km,2020-2029,C,June,8.1,11.4,14.9,1.9,9.8,1.6,5.1,-1.7
31,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp45,2km,2020-2029,C,July,9.8,13.5,16.9,1.3,12,1.5,4.9,-2.2
32,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp45,2km,2020-2029,C,August,10.3,13.2,16.9,1.3,11.8,1.4,5.1,-1.5
33,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp45,2km,2020-2029,C,September,7.7,10.2,13.1,1.1,8.9,1.3,4.2,-1.2
34,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp45,2km,2020-2029,C,October,2.3,6.2,9.3,1.8,5,1.2,4.3,-2.7
35,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp45,2km,2020-2029,C,November,-6.1,-0.1,6,2.7,-0.3,0.2,6.3,-5.8
36,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp45,2km,2020-2029,C,December,-8.3,-2,2.8,2.7,-2.6,0.6,5.4,-5.7
37,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp45,2km,2030-2039,C,January,-7.5,-2.1,3.1,2.3,-3.9,1.8,7,-3.6
38,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp45,2km,2030-2039,C,February,-5.2,0.6,5.3,2.9,-2,2.6,7.3,-3.2
39,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp45,2km,2030-2039,C,March,-3.8,1.5,6.1,2.6,-0.7,2.2,6.8,-3.1
40,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp45,2km,2030-2039,C,April,0.6,4.2,8.2,1.7,2.4,1.8,5.8,-1.8
41,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp45,2km,2030-2039,C,May,5.4,7.8,10.9,1.1,6.3,1.5,4.6,-0.9
42,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp45,2km,2030-2039,C,June,8.9,11.8,17.5,1.7,9.8,2,7.7,-0.9
43,Yakutat,Alaska,US,59.547,-139.727,Temperature,rcp45,2km,2030-2039,C,July,10.6,13.9,17.4,1.3,12,1.9,5.4,-1.4
